mode,english,ja_JP,group,id,cat,loc,cursed
base_game,Arcane +1,神秘＋１,7000700,7000700,1000,7000700,
base_game,Arcane +2,神秘＋２,7000700,7000701,1000,7000701,
base_game,Arcane +3,神秘＋３,7000700,7000702,1000,7000702,
base_game,Attack power increased for each Night Invader defeated,夜の侵入者を倒す度、攻撃力上昇,100,7060200,100,7060200,
base_game,Attack power increased for each evergaol prisoner defeated,封牢の囚を倒す度、攻撃力上昇,100,7060000,100,7060000,
base_game,Attack power up when facing frostbite-afflicted enemy,凍傷状態の敵に対する攻撃を強化,7260400,7260400,100,7260400,
base_game,Attack power up when facing poison-afflicted enemy,毒状態の敵に対する攻撃を強化,7260300,7260000,100,7260000,
base_game,Attack power up when facing scarlet rot-afflicted enemy,腐敗状態の敵に対する攻撃を強化,7260300,7260300,100,7260300,
base_game,Bewitching Branches in possession at start of expedition,出撃時に「誘惑の枝」を持つ,7122000,7122000,100,7122000,
base_game,Changes compatible armament's skill to Blood Blade at start of expedition,出撃時の武器の戦技を「血の刃」にする ※適用可能な武器種のみ,300,7123700,100,7123700,
base_game,Changes compatible armament's skill to Chilling Mist at start of expedition,出撃時の武器の戦技を「冷気の霧」にする ※適用可能な武器種のみ,300,7123900,100,7123900,
base_game,Changes compatible armament's skill to Determination at start of expedition,出撃時の武器の戦技を「デターミネーション」にする ※適用可能な武器種のみ,300,7124600,100,7124600,
base_game,Changes compatible armament's skill to Endure at start of expedition,出撃時の武器の戦技を「我慢」にする ※適用可能な武器種のみ,300,7124300,100,7124300,
base_game,Changes compatible armament's skill to Eruption at start of expedition,出撃時の武器の戦技を「溶岩噴火」にする ※適用可能な武器種のみ,300,7123000,100,7123000,
base_game,Changes compatible armament's skill to Flaming Strike at start of expedition,出撃時の武器の戦技を「炎撃」にする ※適用可能な武器種のみ,300,7122900,100,7122900,
base_game,Changes compatible armament's skill to Glintblade Phalanx at start of expedition,出撃時の武器の戦技を「輝剣の円陣」にする ※適用可能な武器種のみ,300,7122700,100,7122700,
base_game,Changes compatible armament's skill to Gravitas at start of expedition,出撃時の武器の戦技を「グラビタス」にする ※適用可能な武器種のみ,300,7122800,100,7122800,
base_game,Changes compatible armament's skill to Hoarfrost Stomp at start of expedition,出撃時の武器の戦技を「霜踏み」にする ※適用可能な武器種のみ,300,7124000,100,7124000,
base_game,Changes compatible armament's skill to Lightning Slash at start of expedition,出撃時の武器の戦技を「雷撃斬」にする ※適用可能な武器種のみ,300,7123200,100,7123200,
base_game,Changes compatible armament's skill to Poison Moth Flight at start of expedition,出撃時の武器の戦技を「毒蛾は二度舞う」にする ※適用可能な武器種のみ,300,7123600,100,7123600,
